5,5,0.96,189.40416666666667
8,5,0.94,125.86170212765957
11,5,0.96,60.47727272727273
14,5,0.98,74.88921282798833
17,5,0.98,53.90396158463385
20,5,1.0,51.618
5,8,0.96,132.82500000000002
8,8,0.96,140.1328125
11,8,1.0,92.51636363636364
14,8,0.98,68.42274052478135
17,8,0.96,53.10784313725491
20,8,1.0,46.528
5,11,0.94,208.11914893617026
8,11,0.98,99.57142857142857
11,11,0.94,85.0522243713733
14,11,0.92,79.73136645962734
17,11,0.98,62.05042016806723
20,11,0.96,44.43541666666667
5,14,0.96,225.92916666666667
8,14,0.98,115.10969387755102
11,14,0.98,104.22448979591839
14,14,0.94,66.65957446808511
17,14,0.98,53.22328931572629
20,14,0.94,45.92765957446808
5,17,1.0,160.372
8,17,0.96,109.82291666666667
11,17,0.92,80.2786561264822
14,17,1.0,60.518571428571434
17,17,1.0,54.750588235294124
20,17,0.98,50.5
5,20,0.98,180.88979591836735
8,20,1.0,140.7525
11,20,0.98,76.05194805194805
14,20,0.96,49.9717261904762
17,20,0.92,37.163682864450124
20,20,1.0,43.096000000000004
